iter	Logloss	Accuracy
0	0.5944808499	0.8091
1	0.5392322273	0.8089666667
2	0.5058021903	0.8089666667
3	0.4840733533	0.8089666667
4	0.4701262575	0.8092
5	0.4612070202	0.8099333333
6	0.4554810304	0.8101
7	0.4521148548	0.8100333333
8	0.4488082648	0.81
9	0.4478928241	0.8102833333
10	0.4460015922	0.81155
11	0.4447433117	0.8116666667
12	0.4439093138	0.8128333333
13	0.4427955483	0.81285
14	0.4424331683	0.81295
15	0.4416473894	0.81335
16	0.4408200493	0.8136333333
17	0.4400596103	0.8138
18	0.4391086765	0.8141833333
19	0.4387427885	0.8141333333
20	0.4384775059	0.81425
21	0.4378031042	0.8148833333
22	0.4372608895	0.8149166667
23	0.4371105034	0.81485
24	0.4369159356	0.8149
25	0.4364264559	0.8149
26	0.4360327776	0.8153333333
27	0.4358420454	0.8153
28	0.4358418746	0.8153
29	0.4354949315	0.8156
30	0.4350004319	0.8161333333
31	0.4348107909	0.8160666667
32	0.43450757	0.8160833333
33	0.4344079791	0.8160166667
34	0.4341746244	0.81625
35	0.4339598888	0.8161833333
36	0.4338040084	0.8162
37	0.4335968874	0.81635
38	0.4330386783	0.8169333333
39	0.4328258179	0.8170666667
40	0.4327600096	0.8172
41	0.4325876635	0.81715
42	0.4321511365	0.8172833333
43	0.431836795	0.81745
44	0.431577806	0.8177166667
45	0.4313763621	0.81795
46	0.4311719027	0.81815
47	0.4309543907	0.8180333333
48	0.4304937971	0.8182333333
49	0.4302397807	0.8184666667
50	0.4299834673	0.8185833333
51	0.4297054854	0.8185833333
52	0.4295237657	0.8187333333
53	0.4292794584	0.8186833333
54	0.4291581621	0.8188333333
55	0.4288974923	0.8190666667
56	0.4286321741	0.8191166667
57	0.4285073831	0.81925
58	0.4282472376	0.8193
59	0.4281022053	0.8192333333
60	0.4278914603	0.8192833333
61	0.42780114	0.8191833333
62	0.427644323	0.8192666667
63	0.4274523214	0.8196333333
64	0.4272136186	0.8198
65	0.4270429716	0.8201166667
66	0.426978871	0.82005
67	0.4269056339	0.8199833333
68	0.4268291254	0.8199
69	0.4267601046	0.8199166667
70	0.4266795624	0.8199
71	0.4264516882	0.8200166667
72	0.4262730227	0.8201166667
73	0.4262074459	0.8203333333
74	0.4260790748	0.82015
75	0.4259220683	0.8202333333
76	0.425792568	0.8203333333
77	0.4257622495	0.8204
78	0.4256233036	0.8202166667
79	0.4255413568	0.8203333333
80	0.4253633103	0.8205
81	0.4252429381	0.8203333333
82	0.4250519372	0.8205166667
83	0.4248811279	0.8204833333
84	0.4246362895	0.82095
85	0.424510931	0.8208833333
86	0.4244279948	0.821
87	0.424336705	0.821
88	0.4241518992	0.82115
89	0.424127788	0.8212166667
90	0.42404258	0.82115
91	0.4240295142	0.8210833333
92	0.4238563531	0.8211833333
93	0.4236479711	0.8212166667
94	0.4235064796	0.82125
95	0.4233195294	0.8210666667
96	0.4231402216	0.8211166667
97	0.4228609757	0.8211666667
98	0.4227875989	0.8211
99	0.4227628565	0.8211
100	0.4225717149	0.8213
101	0.4224172119	0.8213
102	0.4222653817	0.8212166667
103	0.4221526489	0.8213833333
104	0.4220663271	0.8213666667
105	0.4219903718	0.82145
106	0.4218570664	0.82145
107	0.4218495383	0.82135
108	0.4218031093	0.8213
109	0.421588783	0.8214666667
110	0.4214239751	0.8213833333
111	0.4212150174	0.8216666667
112	0.421182894	0.8216666667
113	0.4210777071	0.82165
114	0.4209531751	0.8215166667
115	0.4208120927	0.8215833333
116	0.4207058587	0.8216
117	0.4206204853	0.8217166667
118	0.4205403641	0.82185
119	0.4205231721	0.8217833333
120	0.4204871335	0.8219333333
121	0.4204197981	0.8218666667
122	0.4203589939	0.8219166667
123	0.4202566552	0.8219
124	0.4201364517	0.8219833333
125	0.4200386138	0.8220666667
126	0.4198886369	0.8222333333
127	0.4197492466	0.82225
128	0.4196897428	0.8223
129	0.4196157983	0.8223166667
130	0.4195338845	0.8222666667
131	0.4194460761	0.82235
132	0.4194047147	0.82235
133	0.4191643849	0.8224833333
134	0.4191131168	0.8226
135	0.4190431022	0.8226166667
136	0.4188527328	0.8227166667
137	0.4187520373	0.82275
138	0.4186395625	0.8230333333
139	0.4184562862	0.8230833333
140	0.4183298122	0.8232666667
141	0.4182253829	0.8232333333
142	0.4181775804	0.8232
143	0.4181137598	0.8232
144	0.417968336	0.8232833333
145	0.4177836322	0.8233333333
146	0.417735031	0.82325
147	0.4176642817	0.8231833333
148	0.4174962542	0.8234166667
149	0.4173971539	0.8235666667
